ID,Unique Name,Route,ELR,Veh Per Day,Cyc and Ped Per Day,Trains Per Day,Total users,Main Crossing Type,Lat,Long
1,4 Lane Ends,LONDON_NORTH_WEST,FCO,0,1,34,1,Footpath Crossing,53.71808838,-2.717180348
2,A1121 (Hubberts Bridge),LONDON_NORTH_EAST,GRS2,0,0,33,0,Footpath Crossing,52.97517934,-0.106917157
3,A505 Roundabout (North),LONDON_NORTH_EAST,SBR,0,1,114,1,Footpath Crossing,52.04876815,-0.047198939
4,A505 Roundabout (South),LONDON_NORTH_EAST,SBR,0,3,176,3,Footpath Crossing,52.0471885,-0.054400565
5,Abbey Farm (HBS),LONDON_NORTH_EAST,HBS,2,0,70,2,User Worked Crossing with Telephone,53.93868544,-0.436595579
6,Abbey Farm (LJT1),WALES,LJT1,0,0,12,0,User Worked Crossing with Telephone,53.17482559,-3.818133576
7,Abbey Farm FP,WALES,LJT1,0,0,12,0,Footpath Crossing,53.17482559,-3.818133576
8,Abbey Farm No.2,WESSEX,BAE2,0,0,76,0,User Worked Crossing with Telephone,50.77182695,-3.013912935
9,Abbey Farm No.3,LONDON_NORTH_WEST,CBC1,0,0,40,0,User Worked Crossing,54.50096997,-3.582012763
10,Abbey Lane,LONDON_NORTH_WEST,FCO,0,0,24,0,User Worked Crossing,53.58386209,-2.858674666
11,Abbey Lane FP,LONDON_NORTH_WEST,FCO,0,6,34,6,Footpath Crossing,53.58386209,-2.858674666
12,Abbey Meads,KENT,PWS2,0,0,91,0,User Worked Crossing with Telephone,51.31802951,0.452609008
13,Abbey Meads FP,KENT,PWS2,0,2,86,2,Footpath Crossing,51.31802951,0.452609008
14,Abbots Ripton,LONDON_NORTH_EAST,ECM1,0,12,630,12,User Worked Crossing with Telephone,52.38329758,-0.199606458
15,Abbotts (LTN1 56M 17Ch),ANGLIA,LTN1,0,4,91,4,Footpath Crossing,52.32727066,1.077898431
16,Abbotts (LTN1 91M 20Ch),ANGLIA,LTN1,0,0,184,0,Footpath Crossing,51.92314715,0.988545031
17,Aber Bull,WALES,CNH3,0,0,55,0,User Worked Crossing with Telephone,53.23264695,-4.039124724
18,Aber Bull FP,WALES,CNH3,0,0,64,0,Footpath Crossing,53.23264695,-4.039124724
19,Aberceiro,WALES,SBA2,0,0,31,0,Footpath Crossing,52.45423335,-4.023968899
20,Aberdeen Station,SCOTLAND,ANI1,0,0,53,0,Barrow Staff Crossing,57.14522572,-2.101025814
21,Aberdulais Farm,WALES,CWL2,4,0,8,4,User Worked Crossing with Telephone,52.12841511,-3.539088911
22,Abererch,WALES,DJP,178,43,16,221,Automatic Barrier Crossing (Locally) Monitored,52.89841307,-4.37467807
